experiment,well,type,condition,treatment,time,MitoSOX,MitoTracker
2023-11-17,A4,blank,,,,3703.8,247
2023-11-17,B1,sample,control,DMSO,1,14708,5247.6
2023-11-17,B2,sample,control,DMSO,1,14135.4,3936.4
2023-11-17,B3,sample,control,DMSO,1,14368.5,3846.9
2023-11-17,B4,sample,control,DMSO,1,14244.3,4438.3
2023-11-17,B5,sample,control,DMSO,3,14324.6,3538.1
2023-11-17,B6,sample,control,DMSO,3,13555.4,3427.1
2023-11-17,B7,sample,control,DMSO,3,14751,3849
2023-11-17,B8,sample,control,DMSO,3,14992.5,3860.8
2023-11-17,C1,sample,tgfb,DMSO,1,13805.4,4703.4
2023-11-17,C2,sample,tgfb,DMSO,1,13118.3,3749.6
2023-11-17,C3,sample,tgfb,DMSO,1,13717.6,3547.4
2023-11-17,C4,sample,tgfb,DMSO,1,14047.5,4166.5
2023-11-17,C5,sample,tgfb,DMSO,3,15848.6,3948.9
2023-11-17,C6,sample,tgfb,DMSO,3,14861.9,3678.7
2023-11-17,C7,sample,tgfb,DMSO,3,14747.8,4163.8
2023-11-17,C8,sample,tgfb,DMSO,3,15913.6,3966.3
2023-11-17,D1,sample,tgfb,AZD,1,12876.7,3870.8
2023-11-17,D2,sample,tgfb,AZD,1,12341,3820.6
2023-11-17,D3,sample,tgfb,AZD,1,11915.5,3841.7
2023-11-17,D4,sample,tgfb,AZD,1,12437.1,3411.5
2023-11-17,D5,sample,tgfb,AZD,3,14774.6,3958
2023-11-17,D6,sample,tgfb,AZD,3,13686.5,3787.9
2023-11-17,D7,sample,tgfb,AZD,3,13285.9,3944.7
2023-11-17,D8,sample,tgfb,AZD,3,14264.8,4326
2023-11-17,E1,sample,tgfb,VB,1,14391.6,5369.6
2023-11-17,E2,sample,tgfb,VB,1,13892.9,3808.5
2023-11-17,E3,sample,tgfb,VB,1,14093.7,4256.9
2023-11-17,E4,sample,tgfb,VB,1,13953.5,4263.1
2023-11-17,E5,sample,tgfb,VB,3,16096.5,4148.3
2023-11-17,E6,sample,tgfb,VB,3,15210.9,3751.3
2023-11-17,E7,sample,tgfb,VB,3,15651.6,3993.4
2023-11-17,E8,sample,tgfb,VB,3,15408.7,3984.1
2023-11-17,F1,sample,tgfb,Dual,1,12147.5,4998.8
2023-11-17,F2,sample,tgfb,Dual,1,13613.7,5288.9
2023-11-17,F3,sample,tgfb,Dual,1,13393.8,4031.3
2023-11-17,F4,sample,tgfb,Dual,1,14321.9,5044.3
2023-12-14,F5,sample,tgfb,Dual,3,16415.5,3974.2
2023-12-14,F6,sample,tgfb,Dual,3,15388,4071.6
2023-12-14,F7,sample,tgfb,Dual,3,15319.7,4059.1
2023-12-14,F8,sample,tgfb,Dual,3,16305.4,4126.8
2023-12-14,A4,blank,,,,3541.9,353.4
